id,pokemon_id,version_group_id,move_id,pokemon_move_method_id,level,order
1,1,1,14,4,0,
2,1,1,15,4,0,
3,1,1,22,1,13,
4,1,1,33,1,1,1
5,1,1,34,4,0,
6,1,1,36,4,0,
7,1,1,38,4,0,
8,1,1,45,1,1,2
9,1,1,72,4,0,
10,1,1,73,1,7,
11,1,1,74,1,34,
12,1,1,75,1,27,
13,1,1,76,1,48,
14,1,1,76,4,0,
15,1,1,77,1,20,
16,1,1,79,1,41,
17,1,1,92,4,0,
18,1,1,99,4,0,
19,1,1,102,4,0,
20,1,1,104,4,0,
21,1,1,115,4,0,
22,1,1,117,4,0,
23,1,1,156,4,0,
24,1,1,164,4,0,
25,1,2,14,4,0,
26,1,2,15,4,0,
27,1,2,22,1,13,
28,1,2,33,1,1,1
29,1,2,34,4,0,
30,1,2,36,4,0,
31,1,2,38,4,0,
32,1,2,45,1,1,2
33,1,2,72,4,0,
34,1,2,73,1,7,
35,1,2,74,1,34,
36,1,2,75,1,27,
37,1,2,76,1,48,
38,1,2,76,4,0,
39,1,2,77,1,20,
40,1,2,79,1,41,
41,1,2,92,4,0,
42,1,2,99,4,0,
43,1,2,102,4,0,
44,1,2,104,4,0,
45,1,2,115,4,0,
46,1,2,117,4,0,
47,1,2,156,4,0,
48,1,2,164,4,0,
49,1,3,13,2,0,
50,1,3,15,4,0,
51,1,3,22,1,10,
52,1,3,29,4,0,
53,1,3,33,1,1,
54,1,3,45,1,4,
55,1,3,73,1,7,
56,1,3,74,1,32,
57,1,3,75,1,20,
58,1,3,76,1,46,
59,1,3,76,4,0,
60,1,3,77,1,15,1
61,1,3,79,1,15,2
62,1,3,80,2,0,
63,1,3,92,4,0,
64,1,3,104,4,0,
65,1,3,111,4,0,
66,1,3,113,2,0,
67,1,3,130,2,0,
68,1,3,148,4,0,
69,1,3,156,4,0,
70,1,3,173,4,0,
71,1,3,174,4,0,
72,1,3,182,4,0,
73,1,3,189,4,0,
74,1,3,202,4,0,
75,1,3,203,4,0,
76,1,3,204,2,0,
77,1,3,207,4,0,
78,1,3,210,4,0,
79,1,3,213,4,0,
80,1,3,214,4,0,
81,1,3,216,4,0,
82,1,3,218,4,0,
83,1,3,219,2,0,
84,1,3,230,1,25,
85,1,3,230,4,0,
86,1,3,235,1,39,
87,1,3,237,4,0,
88,1,3,241,4,0,
89,1,4,13,2,0,
90,1,4,15,4,0,
91,1,4,22,1,10,
92,1,4,29,4,0,
93,1,4,33,1,1,
94,1,4,45,1,4,
95,1,4,73,1,7,
96,1,4,74,1,32,
97,1,4,75,1,20,
98,1,4,76,1,46,
99,1,4,76,4,0,
100,1,4,77,1,15,1
101,1,4,79,1,15,2
102,1,4,80,2,0,
103,1,4,92,4,0,
104,1,4,104,4,0,
105,1,4,111,4,0,
106,1,4,113,2,0,
107,1,4,130,2,0,
108,1,4,148,4,0,
109,1,4,156,4,0,
110,1,4,173,4,0,
111,1,4,174,4,0,
112,1,4,182,4,0,
113,1,4,189,4,0,
114,1,4,202,4,0,
115,1,4,203,4,0,
116,1,4,207,4,0,
117,1,4,210,4,0,
118,1,4,213,4,0,
119,1,4,214,4,0,
120,1,4,216,4,0,
121,1,4,218,4,0,
122,1,4,219,2,0,
123,1,4,230,1,25,
124,1,4,230,4,0,
125,1,4,235,1,39,
126,1,4,237,4,0,
127,1,4,241,4,0,
128,1,5,15,4,0,
129,1,5,22,1,10,
130,1,5,33,1,1,
131,1,5,45,1,4,
132,1,5,70,4,0,
133,1,5,73,1,7,
134,1,5,74,1,32,
135,1,5,75,1,20,
136,1,5,76,1,46,
137,1,5,76,4,0,
138,1,5,77,1,15,1
139,1,5,79,1,15,2
140,1,5,80,2,0,
141,1,5,92,4,0,
142,1,5,104,4,0,
143,1,5,113,2,0,
144,1,5,130,2,0,
145,1,5,148,4,0,
